© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulators	c1	c2	c3
NCOR2	N/A	N/A	N/A
ZNF43	N/A	N/A	N/A
TFAP2D	N/A	N/A	N/A
PAX4	N/A	N/A	N/A
NOTCH2 mRNA:miR-34 RISC	N/A	N/A	N/A
TRIM28	N/A	N/A	N/A
ONECUT2	N/A	N/A	N/A
PDLIM1	N/A	N/A	N/A
NCoR/SMRT	N/A	N/A	N/A
KLF2	N/A	N/A	N/A
TRIM32	N/A	N/A	N/A
ING1	N/A	N/A	N/A
TGFB1I1	N/A	N/A	N/A
TCF/LEF	N/A	N/A	N/A
NCOA1	N/A	N/A	0.0
MYCBP	N/A	N/A	N/A
CBP/CREB/CRTC2	N/A	N/A	N/A
NuRD	N/A	N/A	N/A
SP4	N/A	N/A	N/A
SS18	N/A	N/A	N/A
JUND	N/A	N/A	N/A
APBB1	N/A	N/A	N/A
HOXA13	N/A	N/A	N/A
MED7	N/A	N/A	N/A
NPAT	N/A	N/A	N/A
MECP2:RBFOX1 gene	N/A	N/A	N/A
RUVBL2	N/A	N/A	N/A
BCL9/CREBBP/EP300/CTNNB1/LEF/TCF	N/A	N/A	N/A
Foxp1	N/A	N/A	N/A
ZNF85	N/A	N/A	N/A
cyclin D	N/A	N/A	N/A
beta arrestin	N/A	N/A	N/A
FOXK2	N/A	N/A	N/A
PLAG1	N/A	N/A	N/A
NPM	N/A	N/A	N/A
MTA3	N/A	N/A	N/A
ELF3:NOTCH3 gene	N/A	N/A	N/A
NCOR/LXR/RXR/oxysterol/9 cis RA	N/A	N/A	N/A
CEBPA gene: LEF1	N/A	N/A	N/A
HOXA5	N/A	N/A	N/A
FOXI2	N/A	N/A	N/A
SCAI	N/A	N/A	N/A
SETBP1	N/A	N/A	N/A
ECD	N/A	N/A	N/A
NAB2	N/A	N/A	N/A
Duxbl1	N/A	N/A	N/A
CREBZF	N/A	N/A	N/A
KLF5 gene:CEBPA dimer	N/A	N/A	N/A
N-CoR	N/A	N/A	N/A
UXT	N/A	N/A	N/A
HOXA4	N/A	N/A	N/A
SF1	N/A	N/A	N/A
HOXD3	N/A	N/A	N/A
Ncoa6	N/A	N/A	N/A
Ap1	N/A	N/A	N/A
BUD31	N/A	N/A	N/A
NSD3	N/A	N/A	N/A
SREBP1A,1C:SCD gene	N/A	N/A	N/A
ATN1	N/A	N/A	N/A
MED21	N/A	N/A	N/A
NFE2L3	N/A	N/A	N/A
NOTCH3 coactivator	N/A	N/A	N/A
WWC1	N/A	N/A	N/A
C1QBP	N/A	N/A	N/A
HES3	N/A	N/A	N/A
TEAD2,TEAD4:YAP1:FOXH1:SMAD2,3:TBXT:FOXA2 gene	N/A	N/A	N/A
STAT1 Dimer	N/A	N/A	N/A
CCNT1	N/A	N/A	N/A
ASB2	N/A	N/A	N/A
MECP2:GAD2 gene	N/A	N/A	N/A
VGF gene:REST	N/A	N/A	N/A
BMAL1:CLOCK,NPAS2:BHLHE41 gene	N/A	N/A	N/A
MSC	N/A	N/A	N/A
RBCK1	N/A	N/A	N/A
MLLT1	N/A	N/A	N/A
TBXT	N/A	N/A	N/A
RNA polymerase II	N/A	N/A	N/A
SOX17	N/A	N/A	N/A
CEBPA gene:RUNX1:SPI1:GATA2:TAL1:FLI1:MYB	N/A	N/A	N/A
HDAC8	N/A	N/A	N/A
SMARCD3	N/A	N/A	N/A
PAX3	N/A	N/A	N/A
FOXS1	N/A	N/A	N/A
EMX2	N/A	N/A	N/A
PKNOX2	N/A	N/A	N/A
NKX3-1	N/A	N/A	N/A
VGF gene:CREB:ATFs:ASCL1:TCF12:EP300	N/A	N/A	N/A
ID4	N/A	N/A	N/A
BNC2	N/A	N/A	N/A
TBL1X	N/A	N/A	N/A
ZNF32	N/A	N/A	N/A
TAF12	N/A	N/A	N/A
ZMIZ2	N/A	N/A	N/A
DEPDC1	N/A	N/A	N/A
FUS	N/A	N/A	N/A
TAF1	N/A	N/A	N/A
PER2	N/A	N/A	N/A
ZBED3	N/A	N/A	N/A
FOXP4	N/A	N/A	N/A
ZNF429	N/A	N/A	N/A
OVOL2	N/A	N/A	N/A
ZBED2	N/A	N/A	N/A
SIN3A	N/A	N/A	N/A
DRAP1	N/A	N/A	N/A
AFF1	N/A	N/A	N/A
NSD1	N/A	N/A	N/A
E2F3	N/A	N/A	N/A
BRD7	N/A	N/A	N/A
EOMES:TBXT:GATA6:SMAD2,3:SMAD4:FOXA2 gene	N/A	N/A	N/A
KCTD1	N/A	N/A	N/A
RFXAP	N/A	N/A	N/A
HESX1	N/A	N/A	N/A
FOXF2	N/A	N/A	N/A
HIC1	N/A	N/A	N/A
POU3F2	N/A	N/A	N/A
MXI1	N/A	N/A	N/A
STAT1,3,5 dimer:SOCS1 gene	N/A	N/A	N/A
SHOX	N/A	N/A	N/A
RUNX2:RB1:COL1A1 gene	N/A	N/A	N/A
SCF/SKP2	N/A	N/A	N/A
SMAD	N/A	N/A	N/A
VSX2	N/A	N/A	N/A
NKX2-1	N/A	N/A	N/A
NOTCH3 mRNA:miR-150 RISC	N/A	N/A	N/A
metalloprotease	N/A	N/A	N/A
ELK3	N/A	N/A	N/A
HDAC3	N/A	N/A	N/A
WDR5	N/A	N/A	N/A
TEADs:YAP1	N/A	N/A	N/A
HOXA9	N/A	N/A	N/A
MED13	N/A	N/A	N/A
RORA:EP300:SREBF1 gene	N/A	N/A	N/A
BCL10	N/A	N/A	N/A
MED6	N/A	N/A	N/A
HOXC10	N/A	N/A	N/A
RFXANK	N/A	N/A	N/A
Hif1	N/A	N/A	N/A
Yap1	N/A	N/A	N/A
CREB3L2	N/A	N/A	N/A
EOMES:SMAD2,3:SMAD4:GATA6:CXCR4 gene	N/A	N/A	N/A
KLF17	N/A	N/A	N/A
NPM1:TFAP2A homodimer:HSPD1 gene	N/A	N/A	N/A
ZNF224	N/A	N/A	N/A
β-catenin-BCL9-PYGO-TCF/LEF	N/A	N/A	N/A
RCOR2	N/A	N/A	N/A
ATF2	N/A	N/A	N/A
RRP1B	N/A	N/A	N/A
PBX1	N/A	N/A	N/A
FOXO1/3/4	N/A	N/A	N/A
RFX1	N/A	N/A	N/A
ETS1	N/A	N/A	N/A
TRERF1	N/A	N/A	N/A
ILF2	N/A	N/A	N/A
STAT1/3/5 dimer	N/A	N/A	N/A
AP2	N/A	N/A	N/A
CREB3L1	N/A	N/A	N/A
FOXO1:SREBF1 gene	N/A	N/A	N/A
ETV4	N/A	N/A	N/A
MXD3	N/A	N/A	N/A
TAF4B	N/A	N/A	N/A
TDRD3	N/A	N/A	N/A
VGF gene:EGR1	N/A	N/A	N/A
NRIP1:NR1H2,3:RXR:NR1H2,3 ligand:SCD gene	N/A	N/A	N/A
PTTG1	N/A	N/A	N/A
TRIM29	N/A	N/A	N/A
DACH2	N/A	N/A	N/A
MEN1	N/A	N/A	N/A
SAP30BP	N/A	N/A	N/A
TRIM66	N/A	N/A	N/A
TEAD:WWTR1(TAZ)	N/A	N/A	N/A
PAX7	N/A	N/A	N/A
TPH1 gene:EGR1	N/A	N/A	N/A
RUVBL1	N/A	N/A	N/A
TAF7	N/A	N/A	N/A
POU5F1:SOX2:NANOG:SOX2 gene	N/A	N/A	N/A
ZNF143	N/A	N/A	N/A
NCOA6	N/A	N/A	N/A
FOSB	N/A	N/A	N/A
ERF	N/A	N/A	N/A
PRDM4	N/A	N/A	N/A
MYF6	N/A	N/A	N/A
NACC1	N/A	N/A	N/A
ZBTB33	N/A	N/A	N/A
HDAC6	N/A	N/A	N/A
SIX5	N/A	N/A	N/A
THAP11	N/A	N/A	N/A
ZNF91	N/A	N/A	N/A
NOTCH3 mRNA:miR-206 RISC	N/A	N/A	N/A
TCF7	N/A	N/A	N/A
MYBL2	N/A	N/A	N/A
MYT1L	N/A	N/A	N/A
CREB3	N/A	N/A	N/A
NF-Y	N/A	N/A	N/A
TBP	N/A	N/A	N/A
PHF6	N/A	N/A	N/A
SOX2/OCT4	N/A	N/A	N/A
HSF2	N/A	N/A	N/A
IKB	N/A	N/A	N/A
BRPF1	N/A	N/A	N/A
SIAH2	N/A	N/A	N/A
MED16	N/A	N/A	N/A
ATOH1	N/A	N/A	N/A
SP100	N/A	N/A	N/A
TAF6	N/A	N/A	N/A
FOXD3	N/A	N/A	N/A
ZNF395	N/A	N/A	N/A
ZKSCAN3	N/A	N/A	N/A
EED	N/A	N/A	N/A
HDAC1/2	N/A	N/A	N/A
ELF2	N/A	N/A	N/A
ZNF431	N/A	N/A	N/A
ATOH8	N/A	N/A	N/A
DLX2	N/A	N/A	N/A
LMX1A	N/A	N/A	N/A
MAFA	N/A	N/A	N/A
MBD2	N/A	N/A	N/A
SOX10	N/A	N/A	N/A
MKX	N/A	N/A	N/A
PSMC5	N/A	N/A	N/A
SIX6	N/A	N/A	N/A
SOX21	N/A	N/A	N/A
ZNF254	N/A	N/A	N/A
MAEL	N/A	N/A	N/A
CBX5	0.0	N/A	N/A
mediator	N/A	N/A	N/A
CERS2	N/A	N/A	N/A
HOXA11	N/A	N/A	N/A
TCF4/CTNNΒ	N/A	N/A	N/A
