motif	name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj	270502_S0_L001.sorted.dedup.bam	304955_S0_L001.sorted.dedup.bam	278106_S0_L001.sorted.dedup.bam	304944_S0_L001.sorted.dedup.bam	313308_S0_L001.sorted.dedup.bam	2792020_S32_L003.sorted.dedup.bam	2781090_S41_L003.sorted.dedup.bam	2858490_S0_L001.sorted.dedup.bam	2811610_S33_L003.sorted.dedup.bam	2705020_S0_L001.sorted.dedup.bam	2858810_S31_L003.sorted.dedup.bam	2781080_S30_L003.sorted.dedup.bam	2705010_S40_L003.sorted.dedup.bam	2858800_S38_L003.sorted.dedup.bam	3049430_S42_L003.sorted.dedup.bam	2705000_S0_L001.sorted.dedup.bam	3049380_S0_L001.sorted.dedup.bam	2792010_S0_L001.sorted.dedup.bam	3013500_S34_L003.sorted.dedup.bam	2811630_S35_L003.sorted.dedup.bam	2792040_S0_L001.sorted.dedup.bam	2781020_S37_L003.sorted.dedup.bam	3049400_S39_L003.sorted.dedup.bam	3049450_S36_L003.sorted.dedup.bam	m329861_S198.sorted.dedup.bam	m329883_S194.sorted.dedup.bam	m344004_S196.sorted.dedup.bam	m344001_S207.sorted.dedup.bam	m329885_S199.sorted.dedup.bam	m329865_S206.sorted.dedup.bam	m318978_S195.sorted.dedup.bam	m318979_S197.sorted.dedup.bam	m313309_S193.sorted.dedup.bam	m318986_S33_sorted.dedup.bam	m334087_S35_sorted.dedup.bam	m357484_S37_sorted.dedup.bam	m357486_S34_sorted.dedup.bam	m357488_S36_sorted.dedup.bam	m364088_S38_sorted.dedup.bam
MA0815.1_TFAP2C(var.3)	TFAP2C(var.3)	2.96013910671288	2.44978796843015	3.2964066494229	8.39134500126815e-49	1.13253817149983e-48	-4.43071938516062	-4.15185776479849	-1.84955299192406	-1.38802037754787	-3.28356817802844	-2.04169719402596	3.05303255573707	3.49349898486309	-0.572577929752007	-3.16328561572805	4.00337448985618	-0.791095795702522	-4.47538577518274	2.38654171765974	2.94103589002975	0.35461398395548	0.776904035368919	4.63470127092452	-0.181882309688679	-0.165793210440984	-2.21884268844643	-3.48970752989269	2.89300060988238	1.99752400743493	-3.81198268918345	-0.38110165001158	-0.372968642885845	4.96473208480979	-2.80960325281879	4.40265925941844	1.90140530957994	-1.34741491655909	0.398821304858316	-4.12774124423417	2.91501457734649	-2.84123709998306	-4.72721236588711	-2.14703170661447	-4.03952958059215
MA0817.1_BHLHE23	BHLHE23	6.30560843325602	3.31004720355866	8.7247666653044	8.36900533174158e-293	2.85879297172766e-292	-0.979361358118536	-1.95879754289406	0.00377120124270019	-1.02540122181278	-1.53591863762428	5.75879567601241	3.30830369147458	-8.94630870885494	-3.1081666205866	-2.29753498445036	0.264431763917322	-2.07271154127157	-4.92292446017726	-8.76754096028355	-7.50245910696239	-3.49532605047055	-5.04892518637737	-0.911401298743913	-8.29066025787055	-3.65722426082268	-0.931197307712281	-1.06261473421653	2.86787782715759	-8.42947004836625	0.177125008028723	0.215654676077792	-3.23660246788195	1.57268915843682	0.849666171486929	3.10550683323716	-2.16720040117016	6.79553755023336	-5.13211871925386	-2.41123968452963	25.1279554053722	-2.9500835448666	-3.42763719613308	15.9880203787263	-3.42399121989563
MA0818.1_BHLHE22	BHLHE22	7.02973237307384	3.65612775047666	9.84028690326654	0	0	-0.371731939399965	-3.80667296864589	-0.93069848227425	-1.01707608072994	-2.03102412427863	5.77982005294555	4.5526854773647	-9.66584117726203	-3.48621872692799	-1.84764996834127	-0.393608221226092	-1.79700912307263	-4.83207266587786	-9.78067279650915	-8.77307170877913	-3.63437788355007	-5.39620797324886	-1.6317921843386	-7.98980855147565	-3.92191207883268	-0.816729976836822	-0.437390287397886	4.01983111624628	-9.85114016916292	0.130487533896911	0.0837134316905837	-4.08407902183626	1.4878842406929	0.962578870976619	3.29437658487997	-3.5891074375525	6.80689931235867	-6.07054241168828	-3.04363502022473	28.4892526164163	-2.32717973510166	-4.02680945998112	17.6880287139779	-2.15275263671001
MA0819.1_CLOCK	CLOCK	2.27762368978526	1.91012040740891	2.57186866150846	2.29752077053924e-23	2.63158165408946e-23	-2.42611360574414	0.235939098615016	-1.09238466489072	2.08928068382403	1.34920535273144	-3.67635101877097	3.27194718904263	2.6838395201246	1.43044359442113	-1.55424666582764	1.65906054363983	0.79809118687944	-3.40215473333839	3.11219897168276	3.20077862839124	-0.262168342863071	-2.62660728369303	-0.542024956757181	2.26216152481134	-1.96966345371664	-0.339449644490061	-2.92769485134687	3.60932038185017	3.06518858776642	-0.510580242542932	-3.22293571468359	-1.71701934150055	0.645388979514698	0.131119533678393	-0.414228601673403	-1.68032204790188	-2.73870922552827	1.04415601708071	2.13911484891339	-1.78513656704099	-4.32652462390916	2.70467879343036	-2.52198796242719	-0.732285773038643
MA0820.1_FIGLA	FIGLA	8.13596827617882	5.84649288469757	10.1687112737977	0	0	-1.30468461763988	0.483354076796427	1.92074621157818	0.343134468370542	-1.52896714820089	0.499637093183962	8.57231038307537	1.16628776865215	9.13763690158715	-5.02041560741589	12.3710484330019	1.55946406152741	6.54288780692184	1.06524516688802	4.73566354614094	5.44733457482834	-11.2666319054304	3.31197249230713	12.0997943927319	-9.12125662346577	-3.26871525612774	2.230898847767	9.1057108729182	2.95722739225903	-3.09875343792643	-4.69397249921619	-3.49032294831229	17.7172378850087	-2.9397081165091	19.6675002574693	-1.18581418462766	1.12387269116792	2.75993436483619	3.76310883844731	-18.4084095434528	-6.13488948390763	6.5689857768994	-19.7692429324233	-6.67891847580401
MA0821.1_HES5	HES5	3.18284914762163	2.4415862249964	3.83815607995557	5.78051719120956e-59	8.08434650654671e-59	-6.18149852858402	0.908979854559241	-0.188229038627638	1.23600140531812	2.13885115779896	-7.23032902925747	5.52965157776268	2.50816072708937	3.87606557379178	-1.29067946405791	1.09112707295366	1.25152191245097	-3.29475270715299	2.08372674841316	3.11282915932032	0.676998329541863	-2.58521892782307	-1.34895355165901	1.90386790102016	-1.0183243708525	1.29386660448691	-7.66687627616355	5.38994803667408	3.15723996479107	-3.0795938562756	0.229280095006051	-0.573323677688413	3.81370380599073	-3.32576584899014	2.3907598345067	-1.19867672201921	-2.79742618373579	2.11028102182633	-0.16167066503429	-2.57804481047433	-4.83568749612454	0.792240152238298	-2.89567350164911	0.493089032453735
MA0822.1_HES7	HES7	3.26891607540829	2.39830162706093	3.99619332595635	3.93418542734296e-63	5.64533670986759e-63	-5.14301191782723	1.09979739969317	-0.512639374611019	1.9098567593917	1.7917923547508	-6.01303929235427	7.79877853965481	0.119335303010031	3.25079849310037	-0.747764221182303	2.87225056474722	0.445586256076079	-3.41400049264038	-0.21175847000821	1.19835327847865	0.0892946515939658	-3.08395091104495	-0.4905948660773	1.53105541561166	-1.71260125820089	1.75114329776369	-6.1527761190412	7.82772872328604	0.796354182792158	-3.00854447563945	0.519806246841021	-0.701115407807758	5.57245129025648	-3.03937146980322	3.46427870492848	-0.604077633564415	-3.13622244092444	1.23787367458522	-0.203375784619469	-3.33473707625237	-5.02293636015149	1.2360304888543	-3.52704064123248	0.428957758091901
MA0823.1_HEY1	HEY1	2.83791499546775	2.31987998941343	3.22855243831635	1.3084284391169e-43	1.72373166381954e-43	-4.66903473123035	0.0943224193394052	-3.81175874206386	3.03492446625875	1.95543080093927	-5.82366992495033	0.966243572685085	3.81052116517532	-0.174839704803256	-0.628044142461965	0.935510885880464	1.18577736636031	-3.49005413959849	3.66938496535112	4.04282159572181	-4.29556243941865	-3.8205215516169	-3.60362928866855	1.43990355580265	-2.8258380919345	1.50982314806219	-5.43986223781098	1.67292122675302	3.62955198029627	0.116598310605271	0.126688163396063	-2.33918671871881	2.21377946587964	-0.133906474895911	-0.332652627665027	-2.26929705327769	-3.45171858463102	3.43296553999348	1.44234481407818	-1.32814176976084	-2.53359917449998	2.33957653201623	-1.02027010453327	2.47759927895256
MA0824.1_ID4	ID4	14.1490065092917	9.12342829575523	18.3075180677551	0	0	-5.95573827344491	4.36426639317227	-0.591860025870616	3.9877065745079	1.07288106573494	-6.57149787331973	12.0825000122583	6.97760229037843	13.4813753485485	-5.11087111419161	17.470796959238	0.298691803094713	4.07581798848461	7.80895071898689	10.696712897876	8.30453967194283	-18.4485095484017	6.04224332633649	16.1846327529833	-13.805102126606	1.44077978692276	0.175771500220292	14.3721516847107	9.11372619451412	-6.38968904765413	-7.09015974042778	4.39404390922884	27.3173794333675	-5.44811845442873	26.518168636298	9.23795571551006	3.74937581306838	7.15241266548254	2.81084709291594	-38.7021159686214	-11.2262993484457	7.52665208547416	-44.2454515930628	-9.47648795893785
MA0825.1_MNT	MNT	2.95104954866328	2.30024306662853	3.50281599308827	2.08654804365179e-48	2.80629806567802e-48	-6.14075830187731	0.624206447715186	-2.4508621385847	2.89411507180358	1.30139256318463	-6.05072997924104	2.78268822741379	3.47844697899558	1.8270118291779	-0.632876442559615	1.72379250884898	1.16155580634913	-3.17589225630544	3.47352224119601	3.62487312256804	-1.53229363854484	-4.313300045883	-2.94832582721047	3.46226091161454	-2.94539458412548	1.5391702408096	-7.28134844564923	3.58384071421383	3.00867360808755	-0.655305394498383	-0.0282983231505908	-1.03149872330653	1.52877240872089	-1.08818215438008	0.00577818064884628	-1.3430250450971	-2.2871528860465	2.40515257743503	1.20784639299186	-1.23795765411892	-4.13255157446057	1.94631718064122	-2.43778991900074	1.86488723682763
