gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
EOMES	c3	0.7634338000993068	-0.16564908281098603	-0.17602671041507278	223	267	174	664	215
ZNF274	c2	-0.8640270194351314	-0.7575269561054684	0.7406840878741274	202	358	56	616	216
BHLHE22	c1	-0.46899991658637485	-0.7075502521230135	-0.3444396116786965	220	350	78	648	216
HIF1A	c3	-0.008882242880382363	0.009637956371220013	-0.18675190945195652	273	200	192	665	216
ZBTB18	c2	-6.962161936054852	0.7861587915158068	0.5492789566654235	403	68	145	616	217
ZSCAN4	c1	2.8082344371623114	0.07021630314842693	-3.4276662340564688	71	162	418	651	217
PAX1	c3	2.0555669949574535	0.47811011556999894	-1.9483956308300847	144	88	433	665	217
ESRRB	c2	-3.162549159326579	-0.05473249888940062	0.885620028214877	343	239	35	617	218
ONECUT3	c1	-0.5994814749478494	0.2310777855491481	-0.715508666710198	228	109	315	652	218
ZBTB26	c3	1.5037362305320305	-0.006676911117293448	-0.26685395674440393	173	209	284	666	218
MITF	c2	-2.3421747356518434	0.02055280721036389	0.5888126553115551	310	193	114	617	219
MAX	c1	-0.25949741602717946	0.15068793900637747	-0.7288832280639976	204	129	319	652	219
VDR	c3	-1.6101420202468675	-0.20265516994115854	-0.041327092787176056	330	280	61	671	219
ELF1	c2	-1.0412592242230718	0.6830168029799074	0.3691636635382949	218	77	323	618	220
PRDM4	c1	-0.7317979907750602	-0.42501682876233005	-0.383555861509004	236	310	109	655	220
CENPB	c3	-6.1808251671726255	-0.0274181328871891	0.23239711878563618	427	224	21	672	220
MAFK	c2	0.6957978934894983	-0.5401586325329282	0.5228654236951122	108	336	175	619	221
ONECUT1	c1	-1.392956779571234	-0.3325282439669844	-0.3460740828458615	281	298	79	658	221
RXRG	c3	0.12002312861338216	0.10792002993933789	-0.24649725938655287	260	151	261	672	221
MAFG	c2	-2.7102660069021893	-0.06449013546967745	0.7673654880937146	325	245	51	621	222
CDX2	c1	-1.8283887479391197	0.3705222984638249	-0.6165566864565513	303	80	276	659	222
SNAI1	c3	12.265882917834993	-0.8926506408018856	-0.28132586278362215	5	371	296	672	222
RARA	c2	-0.426620331540337	0.10368683084976059	0.4251799646571133	176	167	278	621	223
ZNF75D	c1	-0.9574910610649484	-0.1918411921502904	-0.4194358218130745	248	270	142	660	223
ZBTB7C	c3	-0.798104813015128	0.6338572129059168	-0.27730553333025654	307	75	291	673	223
RFX5	c2	-3.8757091725110735	7.313372401746554	0.43518340830208047	361	1	260	622	224
FOXD2	c1	-9.21855735914945	0.27589452525583363	-0.41683320072318253	422	101	138	661	224
TEF	c3	1.0755055621646683	0.966796958376331	-1.0591314588683467	200	52	421	673	224
ZSCAN4	c2	-0.7036648504135423	-0.17990227306789783	0.5519990894379436	193	288	142	623	225
SRF	c1	-0.7139953506460662	2.487110776071262	-4.359794866360659	234	5	422	661	225
BHLHE40	c3	0.5267377901506866	-1.1105701687032432	-0.023379427556692534	240	380	54	674	225
BHLHE40	c2	-1.7123924468590648	0.10040813995257308	0.49680037831048374	266	169	200	635	226
USF2	c1	2.1359228322111723	-0.1054255109535894	-0.7301435284424311	96	248	320	664	226
ATF6	c3	0.5494790588728303	-0.7172763121527658	-0.06677110555146726	239	358	77	674	226
SOX8	c2	-1.7184677974524802	0.010979863116753015	0.5263609868819152	267	199	171	637	227
FERD3L	c1	-3.3294122738791803	-0.014991740821368296	-0.3894170162750523	348	206	111	665	227
NRF1	c3	-2.3982045186983223	0.07075669147088137	-0.1600957000328913	364	165	148	677	227
MNT	c2	-2.168469069631943	0.4331493267803136	0.4650325608468133	302	105	230	637	228
SOX12	c1	-1.111162501170771	0.5385281844996451	-0.7949038818459329	260	64	341	665	228
ZIC3	c3	4.341268147797011	-0.11853234042262446	-0.36115447201960116	69	252	359	680	228
RUNX3	c2	1.328365064586794	-0.2771045275383188	0.4414425280967915	82	306	249	637	229
OLIG2	c1	0.06651401761917608	-0.03781886780542148	-0.5890384908920794	190	216	261	667	229
TP63	c3	3.5779288888548253	0.08942375271568058	-1.4131628025707155	89	160	431	680	229
TFAP2E	c2	-0.39652091628399955	0.013300571038250684	0.4305994771564734	172	195	270	637	230
FOXC2	c1	-7.9428139764536585	-0.07776853109472302	-0.17176572571185034	410	233	27	670	230
SP8	c3	-5.225785093423183	1.2445870067689018	-0.21426766704259848	421	35	227	683	230
GLIS2	c2	-1.4953558953204171	-0.6435432495321615	0.7918382270067461	249	350	47	646	231
TEAD1	c1	2.6885430828863663	-1.4882441799698094	-0.49068870882517146	74	401	195	670	231
SNAI2	c3	9.577788331292247	-1.2095384792387802	-0.26297479609743135	12	389	282	683	231
MEF2A	c2	1.2118786247505144	-0.9303976589189679	0.5110566897732163	87	370	189	646	232
GLIS1	c1	1.0175893264802893	0.19715734841060367	-1.9669101680617171	143	118	411	672	232
NOTO	c3	2.6569858615964987	0.06717184801637	-0.5013658716515845	124	169	390	683	232
PRDM1	c2	-0.4246806910297394	0.08276477292117713	0.39796317829629757	175	175	296	646	233
NR4A1	c1	-1.2794844097971527	-0.5918766397478749	-0.32784582979902055	274	333	69	676	233
MSANTD3	c3	1.3742429566979304	-0.5897658983096371	-0.16973100434160493	178	344	162	684	233
KLF10	c2	4.14367559838732	-1.0406070573768675	0.4451850351556761	22	379	246	647	234
THRB	c1	1.089713804303376	-0.2533956283109194	-0.5759300326748651	141	286	253	680	234
KLF10	c3	-5.0064500260037645	1.408951573528307	-0.22108894600640028	418	30	239	687	234
SOX14	c2	-0.6070887417403611	-0.10628704196126644	0.510985140115471	188	270	190	648	235
BHLHE41	c1	3.419592929082617	-0.08229317886522457	-1.0546875133102933	55	235	391	681	235
ZIC4	c3	4.808720745939866	-0.3031600354683204	-0.31778798039731626	59	305	324	688	235
CEBPD	c2	1.758329690754885	-0.09151227670833027	0.37692403600825664	73	265	316	654	236
HINFP	c1	1.5794828082330008	-0.31717317605237666	-0.6191250843146783	116	295	277	688	236
MLXIPL	c3	0.3975322898462165	-0.4365546338290847	-0.12619088390813715	249	323	120	692	236
HOXD11	c2	-0.4159869984790043	-1.6704433423126441	0.6690197063967016	174	404	78	656	237
MAZ	c1	-2.2371854860960085	-0.09521115005265425	-0.40990202959390665	317	241	131	689	237
KLF9	c3	-3.699233283599644	0.36447913063599824	-0.19171577027045483	394	100	198	692	237
BATF3	c2	1.7294461881696717	-0.2096032668839113	0.4193306364662739	74	296	286	656	238
TBX20	c1	0.821110645877793	-0.815726791702643	-0.4661737748411152	150	366	174	690	238
CREB3L1	c3	0.7796127250540974	-0.031159675634492165	-0.2273866926477517	219	228	245	692	238
PAX5	c2	0.289461068442074	-2.3210330817006457	0.58708473198514	130	415	115	660	239
MTF1	c1	1.518674521022338	0.017084510472243936	-1.0747131579535	119	178	394	691	239
MAFG	c3	2.748653073670266	0.05777706309319433	-0.5970190478709849	117	174	401	692	239
NFYC	c2	-1.2969518716430675	0.011141264039782805	0.4645047250040717	232	197	231	660	240
GCM1	c1	-1.3353190708694769	0.004988838982359337	-0.5412660801244158	280	185	230	695	240
HOXD10	c3	0.6615099198697358	1.1390321961613898	-1.127397369903269	231	43	422	696	240
E2F8	c2	0.47425533592209296	0.28588789979973145	-0.158928790892384	122	126	412	660	241
CENPB	c1	2.638127622773927	-0.020305700009689655	-1.3033523232575988	79	211	405	695	241
PAX5	c3	-0.5051288548989025	-0.18253611450809487	-0.13307515087881505	296	273	129	698	241
TBX3	c2	-2.022989272086891	0.7011677505833466	0.3976793087661328	289	76	298	663	242
MSANTD3	c1	0.20302897230081496	-0.8012890253913847	-0.43364624387501394	185	364	149	698	242
DBP	c3	1.264324437511332	0.33132827647095575	-0.6517333138756882	189	105	404	698	242
MZF1	c2	0.9090738446055067	-1.527106308992832	0.5248543991855588	95	397	173	665	243
GCM2	c1	-0.48342341303736613	-0.5328002861934621	-0.4352819448752161	222	326	150	698	243
HES2	c3	0.4849223986609421	-0.7382739301761045	-0.09418670839836452	245	361	93	699	243
THRB	c2	-1.010415371555363	-0.17099470739549416	0.5296643380899226	213	287	167	667	244
ZNF682	c3	1.9109605954972104	-0.32566867358376556	-0.221406909713866	151	311	240	702	244
ZBTB32	c1	-2.912463149530309	1.3584092604022135	-0.7744730340592376	341	26	335	702	244
FEV	c2	0.5258000539859409	-1.425298282445347	0.5391442658591341	118	394	156	668	245
CTCF	c3	-0.2878242403157767	-0.5278385613474118	-0.06730197642910518	288	337	78	703	245
ZSCAN29	c1	-1.904389499198672	-0.7480019216709198	-0.23858562709424724	305	355	43	703	245
HES6	c2	-3.2297926575136326	-0.1068749336402534	0.772764599045491	348	271	50	669	246
GSC	c1	-1.4418699350548583	0.012250048960759782	-0.5538021744933683	285	180	238	703	246
ESRRB	c3	2.891583896694037	0.04468204073642274	-0.8251369326091655	111	180	412	703	246
DUX4	c2	-1.3095026761819044	-0.07182082767042	0.5131926777481741	235	250	184	669	247
RFX4	c1	-1.0296525751744987	0.05855271849152187	-0.6228435231538292	255	166	282	703	247
ATF3	c3	2.3977158706515596	0.04561191821828632	-0.5407849318079414	133	178	393	704	247
JUN	c2	-3.2183490808969983	0.5962233523493466	0.45473168556506494	346	84	239	669	248
HOXC10	c1	0.29099811871927334	0.055894520408009345	-0.8466858684965235	179	169	356	704	248
GCM2	c3	-0.53347297273985	0.9893728807717699	-0.3642017911184503	297	48	360	705	248
ZFP57	c2	-0.12267520349306302	-0.035481737936121464	0.39714202098249984	151	219	299	669	249
NKX2-2	c1	-0.9815356970683943	-0.1359117501976702	-0.491386403264519	250	257	198	705	249
KLF13	c3	-2.5946307281923042	-0.046570483540694096	-0.10916949344132476	371	232	104	707	249
MTF1	c2	0.5089266861138326	0.16729745364918253	0.11735679483237682	119	155	396	670	250
GATA6	c1	-3.8529563820202783	-0.5185013855178933	-0.15678567329797133	360	323	25	708	250
PBX2	c3	4.610433647476565	-0.5080110273469799	-0.29829247965860795	66	332	310	708	250
MYBL2	c2	0.16337991198545268	0.36197241375204076	-3.75002970226599	137	113	423	673	251
GLI3	c3	0.4058161221866359	-0.013201069900739168	-0.22311504659269055	248	220	241	709	251
DMRTC2	c1	-1.278110163697215	0.004988838982359337	-0.5759027134001649	273	184	252	709	251
ATF6	c2	-1.4753161073379242	0.7584655174522889	0.29921949644554147	245	71	362	678	252
ZNF528	c3	2.696052871837373	-0.33454695428480596	-0.2581448846378738	119	314	276	709	252
BACH2	c1	1.8984855728681898	-0.14528684159477173	-0.8270063821659548	103	261	347	711	252
ETV5	c2	-0.1711066127051688	0.07498460768349478	0.3354358866640901	158	176	345	679	253
SRF	c3	-4.728463903463376e-4	-3.5383859368411925	1.3969344935712993	270	431	9	710	253
FOXA3	c1	-8.769601460063585	0.4249260799119261	-0.5311532210976022	419	72	222	713	253
GATA6	c2	-0.3894962299968817	0.18954618266792564	0.31643136071821054	170	152	357	679	254
HMBOX1	c3	0.3205633219531469	0.7727365669553979	-0.4879121609610273	252	69	389	710	254
ZNF682	c1	-0.9927668980508546	0.16110617545858077	-0.7811802496593296	252	125	337	714	254
HNF4A	c2	-1.7098032687762226	-0.183162888212277	0.5748603063475688	265	290	126	681	255
POU3F2	c3	-7.992611254962661	0.1354798730140068	-0.15057189857363085	430	140	144	714	255
E2F1	c1	0.8187956195379948	-2.088729489371338	-0.43836986158986235	151	414	151	716	255
HOXC11	c2	-0.8056115291328038	0.4771984057351864	0.14441820456448973	196	96	392	684	256
HSF4	c3	-0.46566412992586936	1.0817166764574526	-0.40115551393087934	294	45	375	714	256
SCRT2	c1	-2.8292540136865263	0.16973412113665562	-0.5782721594990026	339	123	254	716	256
ERG	c2	-0.22134271220669458	-0.6687982813578134	0.5218828094749632	160	352	176	688	257
NFATC3	c3	-1.2169105052942093	0.16451520666807717	-0.25084279138138754	322	132	265	719	257
MIXL1	c1	-4.816000975532476	-0.23936700264063795	-0.30758795508723935	377	278	64	719	257
TCF3	c2	-11.594446135969912	1.7164853860848748	0.45071754192773383	423	23	242	688	258
ERG	c3	-1.8899154232500956	0.5163722577643487	-0.28216593730675754	338	83	298	719	258
OVOL2	c1	0.9837482849003335	0.06391366475085034	-1.956869932380993	144	165	410	719	258
SP9	c2	3.605576040046313	-0.8867732665997026	0.4037314490762016	28	366	294	688	259
IRF5	c1	6.3853273833234	-0.5567740707880845	-0.9906527968502026	10	327	383	720	259
KLF14	c3	-5.948486432879608	1.1489380457208884	-0.2368690378815348	425	41	255	721	259
ZBTB12	c2	-1.2513330311827797	-1.457862671985099	0.7072232609522366	229	395	65	689	260
HSF2	c3	-1.0954402007646928	1.1723991843446788	-0.37938817332981145	316	40	365	721	260
