gene_name,cluster_id,A_diff,E_diff,O_diff,rank_A_diff,rank_E_diff,rank_O_diff,rank_sum,TF_rank,outdegree,expression,accessibility
MEF2B,c1,4.022162830011731,1.0251003558035878,75.15773818298744,83,21,80,184,18,75.15773818298744,1.0251003558035878,4.022162830011731
NR3C2,c2,-1.998392899368865,0.8050199889716784,19.68334508215634,137,38,2,177,19,19.68334508215634,0.8050199889716784,-1.998392899368865
LHX2,c3,2.0296408963320065,3.1834584444353147,-3.3709998609165632,66,4,109,179,19,-3.3709998609165632,3.1834584444353147,2.0296408963320065
CREB3L1,c1,6.273686131799185,0.07741259383627713,82.56709886192105,61,98,27,186,19,82.56709886192105,0.07741259383627713,6.273686131799185
RORA,c3,1.9241722298580028,2.0861589785796455,-3.3398902249760685,71,12,97,180,20,-3.3398902249760685,2.0861589785796455,1.9241722298580028
JDP2,c2,3.141716039147246,0.0015132083973442142,16.148236161419497,33,112,37,182,20,16.148236161419497,0.0015132083973442142,3.141716039147246
E2F4,c1,0.9946999406804955,1.3855959987032822,79.79696716725144,128,16,46,190,20,79.79696716725144,1.3855959987032822,0.9946999406804955
BHLHE22,c3,0.038117387081839205,2.013579021780967,-3.1308071293632365,144,13,26,183,21,-3.1308071293632365,2.013579021780967,0.038117387081839205
HOXC11,c2,-0.7775189316866397,0.4771984057351864,16.52660568254911,107,52,25,184,21,16.52660568254911,0.4771984057351864,-0.7775189316866397
EGR3,c1,5.438363921711711,2.3815111349975355,71.16625037539303,69,4,117,190,21,71.16625037539303,2.3815111349975355,5.438363921711711
OLIG1,c2,1.1492632893563335,0.1395496263326008,15.892450460628504,60,85,43,188,22,15.892450460628504,0.1395496263326008,1.1492632893563335
FOXB1,c3,5.109715213081051,0.12429289364805046,-3.305087642730717,19,84,85,188,22,-3.305087642730717,0.12429289364805046,5.109715213081051
POU6F1,c1,8.975240541388029,1.2180192957442377,69.771886963035,40,19,134,193,22,69.771886963035,1.2180192957442377,8.975240541388029
POU2F1,c2,16.543772776987907,0.23195486230694998,14.138411972270099,1,72,117,190,23,14.138411972270099,0.23195486230694998,16.543772776987907
MNX1,c1,4.749800436176589,0.9966909631280321,74.07058127400555,74,23,97,194,23,74.07058127400555,0.9966909631280321,4.749800436176589
EBF1,c3,0.6779751539162471,0.8381950239017,-3.173129515790767,119,35,41,195,23,-3.173129515790767,0.8381950239017,0.6779751539162471
BHLHE41,c2,-1.6036668048164961,2.1365633458378137,15.552114568752463,127,11,55,193,24,15.552114568752463,2.1365633458378137,-1.6036668048164961
ELK3,c1,10.233768273827252,0.7062462569941634,69.57839276578014,23,33,139,195,24,69.57839276578014,0.7062462569941634,10.233768273827252
GBX2,c3,6.391550072220439,0.06717184801637,-3.3393622359277915,7,97,96,200,24,-3.3393622359277915,0.06717184801637,6.391550072220439
TEAD4,c2,9.46567882180906,0.9818145495806171,13.65966327630206,6,29,158,193,25,13.65966327630206,0.9818145495806171,9.46567882180906
POU4F2,c1,0.6965228167849498,0.32429593636376514,89.36411799076208,135,54,8,197,25,89.36411799076208,0.32429593636376514,0.6965228167849498
POU6F2,c3,5.720704756257634,0.19834612540865998,-3.396500603330548,12,73,119,204,25,-3.396500603330548,0.19834612540865998,5.720704756257634
