gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
RELA	c2	3.36887430296019	1.0644972887491888	0.031044766565155868	16	26	92	134	15
E2F7	c3	0.6868549530953819	2.5393784503915713	0.8208917733166059	126	8	3	137	15
ELK3	c1	5.471899603959162	0.7062462569941634	-0.011414953105608916	15	33	129	177	15
ZBTB7B	c2	0.016655477346532513	0.8637283163050166	0.15597023789769793	84	35	17	136	16
MEIS2	c3	3.8412790695457306	0.28974931171023616	0.14086233244051805	46	63	37	146	16
ZNF410	c1	0.0908078105477628	0.2448128017552829	0.8908988688662451	108	65	6	179	16
CENPB	c2	6.025192185044791	0.04620325037414014	0.10625797348105515	7	101	29	137	17
FOXP2	c3	6.582608141787242	0.5912475829534677	0.038262267871338906	23	44	80	147	17
PROX1	c1	-0.46820657745104843	0.4158272530401736	0.5173230216168037	128	47	9	184	17
SPIC	c2	4.555507806833728	2.8058529517907402	0.006539221687457797	11	6	121	138	18
SCRT1	c3	2.9756530371969654	0.6227188472873753	0.099653785300859	61	43	47	151	18
STAT3	c1	0.8352471282198235	1.261692747464657	0.04585988251826656	86	18	81	185	18
E2F8	c2	0.47425533592209296	0.28588789979973145	0.38637533913296984	74	64	7	145	19
PAX1	c3	2.0555669949574535	0.47811011556999894	0.218103088261989	82	51	19	152	19
MEF2D	c1	2.5648461763117165	1.4205194866608575	0.010369410275258062	56	15	114	185	19
MEF2D	c2	1.4869555223720858	0.4308333334107467	0.08151285332730751	48	56	45	149	20
ONECUT1	c3	4.397392231138143	0.3151181681234857	0.08192812272740468	39	60	53	152	20
MEF2A	c1	2.720980254089494	0.4415293860458108	0.02780556218005792	50	45	96	191	20
EHF	c2	2.7726223879337395	1.4454213736459594	0.018462797267494224	24	19	106	149	21
TCF4	c3	8.395265997346662	0.43089370173146346	0.027097631914196896	8	52	95	155	21
DUX4	c1	0.8002164780578851	0.2211141187035758	0.13553034459245517	90	69	34	193	21
ELF3	c2	2.4201287080991523	0.904883412448355	0.03322117674107261	32	32	89	153	22
NRL	c3	3.858509099507246	0.7566963981590596	0.04402618455822527	44	40	74	158	22
ETV5	c1	4.775459305590698	0.22113264080190465	0.027676697031123965	28	68	97	193	22
MTF1	c2	0.5089266861138326	0.16729745364918253	0.4101475245660726	72	81	5	158	23
MEOX1	c3	3.1657322863475406	0.06717184801637	0.3081096971902362	59	98	10	167	23
ELK1	c1	6.604338231926262	0.7887659640596107	-0.04467065967000394	6	30	159	195	23
FOSL2	c2	3.121113138600912	1.7223631017374283	0.0030456317493996465	20	15	127	162	24
TEF	c3	1.0755055621646683	0.966796958376331	0.19279863965798683	114	31	25	170	24
BHLHE40	c1	2.4127947798453198	1.0177133814461603	0.0068700922969853195	61	22	116	199	24
STAT3	c2	1.8819388271704316	1.0360011945553322	0.028529962130074082	42	27	97	166	25
ALX3	c3	6.5521404214363574	0.04842032268226676	0.11545305759348956	24	106	41	171	25
PRDM1	c1	2.214141961327888	1.1180781833511197	0.006538879435057154	64	20	117	201	25
KLF13	c2	2.665576197263936	0.11526390855230992	0.06732746575983839	28	89	50	167	26
EN2	c3	2.46632792941381	0.38439901318189024	0.10774843029565062	73	55	45	173	26
EGR2	c1	5.194570025078571	0.08503773499552109	0.03654890487910123	21	94	88	203	26
SPIB	c2	0.953707731933237	2.9346705528128703	0.016506450569581332	56	5	108	169	27
NR4A2	c3	3.3442641439393954	0.9101398456625975	0.03277680388888626	53	34	87	174	27
ELF5	c1	2.551275801060199	0.004988838982359337	0.131957952983786	58	109	37	204	27
HOXC11	c2	-0.8056115291328038	0.4771984057351864	0.17150496266338955	108	52	15	175	28
MIXL1	c3	5.886450734716097	-0.04953302247571242	0.23042721446178405	27	134	16	177	28
ERG	c1	5.346736483783545	-0.004629523186674703	0.05809805217395514	17	114	75	206	28
TFAP2C	c2	0.48238506023841754	0.7400879199243727	0.053790852365651176	73	41	62	176	29
NOTO	c3	2.6569858615964987	0.06717184801637	0.2924939587271478	70	100	11	181	29
IRF2	c1	6.200869738928637	1.6698460083734252	-0.06780375343632628	12	13	183	208	29
TFAP2B	c2	0.539723395222985	3.3513658356821616	0.018510278537744895	69	4	105	178	30
DMRT3	c3	1.783724046339664	0.2947057165763718	0.15562266737553543	91	61	32	184	30
EGR3	c1	5.064320523970785	2.3815111349975355	-0.0650087718772081	24	4	181	209	30
NR3C2	c2	-1.6587348245463596	0.8050199889716784	1.520349815151235	143	38	2	183	31
LMX1B	c3	3.8573262517082925	0.007057225288960515	0.2027220913562804	45	117	23	185	31
FOSL1	c1	4.39940387671464	0.5605882465024997	-0.020479496284600884	32	42	137	211	31
SREBF1	c2	-0.03939699322959095	1.2251156014384201	0.04541537137505358	85	23	75	183	32
GBX1	c3	2.7868109661154525	0.020500004936003832	0.32968972533387486	67	112	8	187	32
TFEB	c1	3.2846159072545937	1.8165056342798067	-0.04636678796930127	40	12	162	214	32
SOX21	c2	-2.1491537308395934	1.726562058870565	0.40865433749365643	164	14	6	184	33
PAX3	c3	3.3097585966900067	1.2441157118585626	0.014162656870263746	57	20	111	188	33
PPARG	c1	-1.2822440872184868	0.7126870569194598	0.24857023321031413	164	32	19	215	33
HES5	c3	2.277880715847761	0.10148988470949429	0.19777450180860612	77	89	24	190	34
IRF7	c2	0.43090314481874703	0.1883958645358818	0.08896900907734029	75	79	39	193	34
JUND	c1	2.5732689546031495	0.8315057044576601	-0.019749473917638483	55	27	134	216	34
NHLH1	c3	11.149579179706464	1.6950220478015574	-0.03377745553654243	2	16	172	190	35
SREBF2	c2	-1.0325676292746608	1.6251898309819215	0.05729193868999971	120	17	58	195	35
JUNB	c1	4.706356990709392	2.0265488559750655	-0.06486945484478213	29	8	179	216	35
CUX2	c3	1.3860231020694591	1.2728052757676434	0.0418760144261654	100	17	77	194	36
EGR1	c2	2.4311644581658065	0.9785322213437921	-0.007376294752800661	31	30	135	196	36
ZBTB7A	c1	1.092555316202239	2.1300783004315225	-0.00490707537205104	85	6	127	218	36
FOXA1	c3	7.857124140599723	0.158849461672574	0.017848398281628874	13	78	104	195	37
ETV6	c2	0.7574690830819957	0.9644525259318594	0.019306401405755125	65	31	104	200	37
BATF3	c1	0.435602779689478	0.3329733692238856	0.06599339777338642	101	53	68	222	37
HESX1	c3	8.036424472085635	-0.06774320539990307	0.10656187350923574	12	138	46	196	38
ELF4	c2	1.9274162276909212	-0.02866879477128048	0.06497843438794781	41	119	51	211	38
ONECUT3	c1	-0.5994814749478494	0.2310777855491481	0.19689783280557194	135	67	22	224	38
EVX2	c3	2.739520649368904	0.07229803498742005	0.14910863341522784	68	95	34	197	39
FOS	c2	2.3985169495591956	0.28448875852964156	0.01380883811791378	33	65	113	211	39
FOS	c1	5.076271666436983	0.36699852965854257	-0.03701125267494376	23	50	155	228	39
RORA	c3	2.3796187746200266	2.0861589785796455	0.011484780402488681	76	12	115	203	40
YY1	c2	2.521236434896192	-0.06677294008684052	0.06925846868075247	30	135	49	214	40
NFATC3	c1	3.2608878688797533	-0.18819106021673335	0.1453781931509539	42	158	30	230	40
EBF1	c3	2.2765728709754347	0.8381950239017	0.02713602694823969	78	35	94	207	41
ETV3	c2	-0.07372397852937906	1.557288893561695	0.014123290419954415	88	18	112	218	41
E2F8	c1	1.348603584042039	-0.08810636394341671	0.47668064122674103	79	144	11	234	41
FOXF2	c3	4.708814534790486	-0.013201069900739168	0.09160447877333588	35	123	50	208	42
SPI1	c2	4.21645761046328	0.20541385430003836	0.003520678756952833	15	77	126	218	42
MYBL2	c1	-0.3483304698638851	0.08563051940233359	0.25385165255134723	125	93	17	235	42
POU4F1	c3	4.258660051051793	0.21945472437114583	0.02184624383573386	41	70	99	210	43
CEBPE	c2	2.038960893923463	-0.04638635431595546	0.061492336366425704	39	124	56	219	43
TFCP2	c1	0.24585756665096212	0.09272309460350864	0.12178063668603833	105	91	40	236	43
ZEB1	c3	3.5159083380051204	1.1296633804595746	-0.006398950314071783	50	24	136	210	44
RARA	c2	-0.426620331540337	0.10368683084976059	0.1012645652699522	100	90	31	221	44
HSF4	c1	0.6879132724039472	-0.055432165623664736	0.32665797053716616	94	133	14	241	44
HOXD13	c3	0.5177404075684879	1.8899234979616562	0.058365571502751123	131	14	66	211	45
ZNF143	c2	-0.27219600897608054	0.021492886751105	0.13575397533848488	96	108	20	224	45
CREB3L1	c1	2.072008435131168	0.07741259383627713	0.05387656961211107	65	98	78	241	45
POU4F2	c3	3.7231328333895153	0.032645479535136544	0.07659393839628414	48	109	55	212	46
ZNF263	c2	-0.2510526006642327	0.5256931527080904	0.03661733901400055	95	49	84	228	46
ZBTB7B	c1	-0.5772771239362949	0.2705326367870315	0.10353010008169328	133	63	49	245	46
HEY2	c3	1.7566714756451034	2.24235902835471	0.01491168991305436	93	10	109	212	47
CEBPD	c2	1.49375788411556	-0.09151227670833027	0.08837261496396742	47	146	40	233	47
TP63	c1	-1.6408931992558944	0.22020324921563056	1.3823637706679701	173	70	5	248	47
LHX6	c3	2.1270556458255365	0.08655206347804822	0.11664275736429275	81	92	40	213	48
RREB1	c2	0.8988268395463228	-0.02999209406272778	0.06239357514772337	58	120	55	233	48
NFKB2	c1	5.000664987410593	-0.14490697264347677	0.0636682138782696	26	154	69	249	48
FIGLA	c3	7.164433290015118	0.2614337124958666	-0.0030466454589284098	19	65	132	216	49
POU3F1	c2	8.023880499074732	-0.7000229694728762	0.10051961883742777	4	201	32	237	49
EGR1	c1	2.553492441975769	0.6224686026595279	-0.038102517875497455	57	36	157	250	49
FOXD2	c3	6.792906921308603	-0.12228744886487271	0.09395065886545595	21	148	49	218	50
PRDM1	c2	0.9161058619184158	0.08276477292117713	0.034649661298280066	57	97	87	241	50
EMX2	c1	-2.593959904976476	0.5925222351209628	0.23632019792716363	194	39	20	253	50
MNX1	c3	7.478875079964456	-0.31486921853852845	0.16033177948853528	15	175	30	220	51
MEF2C	c2	0.530112628626253	-0.1337831546991801	0.14492515549976126	70	153	19	242	51
GRHL1	c1	-0.6755229535941522	0.07010136676428173	0.2536034209463711	138	99	18	255	51
BARHL2	c3	2.8034903608389437	-0.09600272512940651	0.25688931549149174	66	143	13	222	52
SP4	c2	2.8131527887479786	-0.6398118847819224	0.11733281166517529	23	194	25	242	52
RELA	c1	3.450771008160007	0.1269086388390147	-0.0199829561820426	37	84	135	256	52
FOXB1	c3	6.243829249414123	0.12429289364805049	0.01290537393940916	26	84	112	222	53
TFCP2	c2	2.3529418311760555	0.3063450294827488	-0.024128239667705387	35	61	146	242	53
PAX7	c1	-1.1872225966832106	0.09601211783546366	0.4574584090272147	158	89	12	259	53
ZNF410	c3	-1.4089908120612833	0.5076525098346176	0.5733031164228048	181	47	5	233	54
TEAD1	c2	8.15177802631759	0.20192808144894456	-0.04603889573005304	3	78	162	243	54
E2F3	c1	0.15180116942832436	-0.09584074943413225	0.6776183469924573	107	148	8	263	54
HLF	c3	1.143596475977746	0.10951856481066954	0.14241731461532048	112	85	36	233	55
HSF2	c2	0.776174931315544	-0.3314152247676662	0.19066335496451892	63	173	11	247	55
LHX6	c1	-2.2985814285508757	0.3199254426738195	0.18464448679068113	188	55	23	266	55
MEIS1	c3	3.3397554746311027	0.2473669918382251	0.012161198176167787	54	67	113	234	56
SP8	c2	4.752668094597647	-0.5135446034174772	0.05961282911495225	10	183	57	250	56
SPIC	c1	2.3176026452696283	-0.12293675190400892	0.08325824258770886	62	151	53	266	56
ZBTB18	c3	7.305343587620019	-0.21776440834575522	0.07914965958809006	17	164	54	235	57
HINFP	c2	2.344114067898901	-0.045188427723491714	0.03164641711702032	36	123	91	250	57
TFAP2A	c1	-0.5921839678777203	3.364562499967177	-0.016424661851100808	134	1	132	267	57
JUN	c3	3.262447578184089	0.08474554373407266	0.027285369190307662	58	93	93	244	58
BHLHE41	c2	-1.3558949016264243	2.1365633458378137	0.015323224511138989	132	11	109	252	58
PAX5	c1	1.6729043277339666	1.927422133505663	-0.07068007620846828	72	10	186	268	58
RFX3	c3	2.960073840429176	0.14774217003699033	0.017694092802891248	62	79	105	246	59
KLF14	c2	5.656696733376807	-0.6714676129494496	0.07755996505709817	8	198	47	253	59
MEF2B	c1	2.9395195617559864	1.0251003558035878	-0.11440587336166885	47	21	204	272	59
CLOCK	c3	1.8128949572126984	0.21020280863237062	0.034638035549912516	90	72	85	247	60
SP2	c2	2.311854050925233	-0.10730268925638146	0.04889798196886552	38	150	67	255	60
ETV4	c1	5.314558367014464	-0.01766550255318977	-0.01900900604870337	18	125	133	276	60
RFX4	c3	2.850562087118351	-0.13885359096778843	0.1467533459032122	65	149	35	249	61
GCM2	c2	0.8432777532843417	-0.5398736516813271	0.1453760023009707	60	184	18	262	61
POU4F1	c1	-4.685906132258906	3.2694640019876493	0.07395369196394341	216	2	59	277	61
HOXC13	c3	1.7545382323956646	0.008222689274334704	0.11126558227767624	94	115	42	251	62
NFYB	c2	-1.1872611810685834	0.821828379778114	0.021791036909005967	126	37	102	265	62
STAT1	c1	1.9516466211865289	0.6704921634672769	-0.05870997370287334	68	35	175	278	62
PHOX2A	c3	5.568910385086544	-0.06768707633337913	0.03368621112274717	30	137	86	253	63
NFATC3	c2	-0.05985883031574735	-0.04889730707860797	0.06383013794022574	87	127	53	267	63
HESX1	c1	-5.381254123815691	0.9224157827204685	0.1406867018677822	224	25	32	281	63
MZF1	c3	4.43377702900258	0.8363334461114547	-0.042909137444029355	38	36	183	257	64
FOSL1	c2	2.7521571700622784	0.0848862421693175	-0.02518561575111633	25	96	147	268	64
CDX2	c1	-0.6127348971718328	0.3705222984638249	0.02796062698317492	137	49	95	281	64
TP53	c3	4.705468705531745	-1.0521915054966566	0.24398612509639683	36	211	14	261	65
NFYA	c2	-1.4111016638012568	0.5420991036763345	0.034128258118430566	133	48	88	269	65
ERF	c1	5.098042526182289	-0.07636510312826923	6.890618875203813e-4	22	139	121	282	65
POU6F1	c3	4.700330765065743	-0.5673300716250408	0.1568599795430501	37	194	31	262	66
NRF1	c2	2.0111706576362525	-0.036794762845993596	0.014457258970793418	40	121	111	272	66
CTCF	c1	3.652214870159846	1.6173285670453577	-0.25801265363832826	36	14	232	282	66
TBX19	c3	2.6262315443370765	-0.5316657606616708	0.6260675991830364	71	192	4	267	67
E2F1	c2	-0.1324705095996057	1.1643725484455956	-0.04154908232859711	90	24	158	272	67
SOX8	c1	-0.07738117280965406	0.004988838982359337	0.07548254665349319	116	110	58	284	67
FOXC2	c3	5.817603068559662	-0.20829148563702707	0.0406005667748488	28	162	79	269	68
POU3F3	c2	6.852668686139839	-3.966845751547374	0.10430746461353557	6	237	30	273	68
MNX1	c1	-5.367674352158732	0.9966909631280321	0.12137803713469175	223	23	41	287	68
DBP	c3	1.264324437511332	0.33132827647095575	0.01635971386352253	105	58	106	269	69
GLI2	c2	-0.05878677921641878	-0.46185423443614493	0.20897048693651143	86	180	10	276	69
HEY1	c1	0.7801395586892548	0.6001687793024332	-0.04253734374251117	91	38	158	287	69
CEBPG	c3	-0.11444684798263846	0.21496139156185418	0.10799479425426384	155	71	44	270	70
EGR3	c2	3.0282896837655624	-0.34826966835914913	0.04099821881843724	21	175	81	277	70
RARA	c1	3.001693610270997	0.16256547699248627	-0.04975084238742156	45	76	166	287	70
TFAP4	c3	8.416777151239746	0.48221314438008794	-0.09598156034448913	7	50	213	270	71
ELK3	c2	0.7575073254864859	0.06953214948546686	0.013305138600294697	64	99	114	277	71
TEAD4	c1	6.354468222407072	0.14670051668224068	-0.08958097143515253	10	79	198	287	71
CUX1	c3	1.925549184855916	-0.06883490278793257	0.09634066396252194	86	139	48	273	72
MEF2B	c2	1.240862190993811	-0.7953179698372747	0.115885276039835	49	203	26	278	72
POU4F2	c1	-4.221931630044446	0.32429593636376514	0.1780656080563361	213	54	24	291	72
INSM1	c3	1.3066526567044312	2.7495787777644995	-0.030689672119144973	102	7	166	275	73
TBX20	c2	-1.7999377492882012	0.12980046606259177	0.08926633134675122	153	87	38	278	73
ELK4	c1	6.555663854741811	-0.4730028152446909	0.025720041292897733	7	184	100	291	73
TP73	c3	5.753106779085626	1.0616480359528404	-0.12260112770651865	29	26	220	275	74
HNF1B	c2	-1.0341549898528204	-0.07182082767042	0.12947206654547294	121	136	22	279	74
FOSL2	c1	4.8876047226278905	0.13817029045622936	-0.06888230067081835	27	81	184	292	74
MSC	c3	9.502100374081051	-0.5708214482349268	0.040861476592969126	4	195	78	277	75
OTX2	c2	-1.1454891262593383	0.6751291862398534	0.011199576842390258	125	43	116	284	75
ETV3	c1	4.365077889929992	-0.3916323769448639	0.044229766663709924	33	179	83	295	75
