hgnc_symbol,Sample_3_304944_P3,Sample_6_304945_P3,Sample_7_304955_P1,Sample_8_313308_P3,Sample_11_329865_P1,Sample_12_344001_P3,Sample_1_313309_P1,Sample_13_334087_P1,Sample_14_357488_P3,Sample_15_357484_P1,Sample_16_364088_P3,Sample_2_329883_P3,Sample_3_318978_P1,Sample_4_344004_P3,Sample_5_318979_P1,Sample_7_318986_P1,Sample_8_357486_P3,Sample_6_270502_P1,Sample_4_278106_P2,Sample_3_279202_P3,Sample_9_278109_P1,Sample_14_285849_P1,Sample_5_281161_P3,Sample_11_285881_P3,Sample_8_278108_P1,Sample_1_270501_1_P1,Sample_15_285880_P1,Sample_5_304943_P3,Sample_4_304938_P3,Sample_10_279201_P1,Sample_1_301350_P3,Sample_13_281163_P1,Sample_12_279204_P1,Sample_7_278102_P3,Sample_2_304940_P3,Sample_9_329861_P1,Sample_10_329885_P3
KHDC1L,12.35774635040441,6.272320791078695,17.106497664526064,17.05410556001605,0,0,4.31628588915148,0,0,0,3.6894505220792833,4.220555331605641,0.7528723643732977,0,374.03050136147834,0.4005055448238008,1.474009630596493,18.920655553262137,52.37373662330851,2.77929635541215,10.831842385710587,12.426693681779462,22.07474219665817,17.493607619999445,5.891213604518669,6.266905275841514,9.66127419390851,7.225997021530633,1.278414795939385,9.76475704833485,6.734282288796763,2.3350801134326638,15.084837006285426,82.12462788674665,7.3786744618265,2.430670332275082,0
DEFB131B,150.99567509924756,174.25076476248665,63.06880215560917,77.52238012704377,0,0,69.94769819112148,6.996821083661332,0,0,42.554260892574085,0,0,4.356634370756248,965.7641453786279,73.91113594335194,0,18.67967290920534,117.90371043741135,30.945829042333788,90.79434880861398,236.7255975736542,356.80370895440115,367.0189019446567,155.3631958114857,59.352380738763635,209.17317402141265,166.92776650120152,72.29945836566118,439.79239536345403,118.2999084463118,110.79797144692618,129.39480887107266,19.3833892462111,58.178095224787846,0,0
CXorf51A,35.44867762131603,1.7572476277259799,1.4069011414629418,2.4148979135758286,0,0,0,0,0,1.3059614577363905,0,0,295.3287954621776,0,0,0,0,0.5423254044381841,1.5052603696279183,127.39499199883849,5.046104708737058,4.232352293445167,0.38730833133198506,0.9833707701449348,1.7054928882487836,26.114273195235533,2.164280873727819,1.5735603486898848,0.5140252287072362,0.1427714581579331,40.55779714064071,2.3858836291963077,25.606651710171437,0.5236760412789148,4.09042227525328,0,0
SMIM27,106.969615248119,28.624843831711296,18.561746886968884,12.23405646582306,27.819635489498484,35.93264980524562,77.7823715528228,66.01651786577469,0.9002216505191679,16.7865942856548,64.1118636403179,1.481634595923575,62.638480468440186,15.157758620513224,2.3729669961891813,146.08162542613675,57.95485927430552,0.6576371183386618,20.443536182853585,3.8304382976317237,16.17172379959515,24.58349877822212,18.598520335789075,30.34809610155759,38.09481839057491,27.93345949371111,38.43824778957028,30.305720610394403,15.25886453004949,16.551054023132615,38.47968207319895,5.593483547074842,86.17325140920707,1.1853752252204894,32.29606572365906,82.15981044980688,1.8781853269235032
SMIM10L1,44.297920146642596,8.631450279410785,15.093636586848987,20.657938181563146,18.249821796353423,0.5766850222009561,19.85174426483389,1.3086512987571117,0,12.369937410840308,0,0,0.49310028823623014,17.926560291486787,0.5903000544239203,32.474545257008536,13.000927367164715,0.1104259681970724,9.80782872243513,2.83161552463708,33.433422505718745,6.415424091086874,8.096504617253633,5.472945957726056,5.3401660377753455,5.410561626672712,11.08860293550365,9.507341469910093,5.051763481171769,6.3955123643019585,6.8365487657030775,5.037960886443443,13.364870917574775,0.11057787483203532,38.52814378003805,0.6822808400217245,0
FAM236A,0.15387266040470166,2.6207553329633697,0.2981722741745654,0.34752025530490865,4.066317861697766,19.50807612735707,12.750834515550716,2.4037465980965544,28.844844047119018,4.100438125365871,5.659141042737739,94.94888026650884,4.105987776453082,4.490144133731036,36.865190495635794,1.638196873666385,4.019449917411512,0.0638544427806249,0.966721469057226,0.2806967565641263,0.9336456408101055,1.4949760520395026,0.5472291907206757,0.23156795555025883,0.6425857075724449,0.19419442545862756,0.4704491427755756,3.5746991450693173,2.2272215716114827,0.20172225378443448,0.8198031818542909,3.277383157309982,0.2804629519643683,0.24663452266684371,0.9632284712693207,7.575029139968795,14.589258926554178
MKRN2OS,151.05532864512386,132.18425167195952,290.005544635596,251.52958834145284,72.0153038803709,112.00670163670598,41.65375155573213,42.963644223358614,4.499447327041376,69.12680490959282,0,2.468479778817321,85.42462115171413,204.5970349742512,2.6356570695680572,186.10687223231656,77.30210530741373,140.8467604444258,241.79273525794227,53.6424708006762,102.38312370097934,135.86905045648314,217.52865155123536,203.73600805130545,87.44930517824866,38.81917901534133,123.64045782779864,124.69381314896077,54.08417921148484,152.98883697533145,122.73225033876717,147.41745458901818,125.28207619943397,298.9852028517276,164.26718262031136,0,0
ETDB,4.422314891345903,2.6428335954230664,5.127050990164872,4.237233713651407,0,0,0,0,0,0,16.21808777435406,8.481242726586297,0,0,2.263908291134528,16.29759251099958,4.936725334380224,11.387544288595436,32.295544481341246,1.03426300952709,0.8756711023878097,3.8191781234353064,7.124386373645565,1.3651866793137288,0.7103067052801592,1.3356637186853306,3.466859768472942,2.634287008648546,1.355853550967233,1.7838513092189296,1.3895079286737944,2.898224725481727,2.4801636639638276,52.950204097745356,0.9464368497416463,99.78240147825376,0
TEX13C,12.908894518257615,14.955854809683474,8.17290670135761,6.9167146478374075,13.406342590880534,3.5100044107804664,61.229727060886944,6.122218448203665,9.268479246894533,23.082496509541983,55.59508277900807,44.866399735713884,6.242629806000724,4.979010709435712,7.185745129305267,25.54532348272532,28.622742788810676,18.858902180189187,13.748063064982844,2.473040086127099,8.788257668938728,10.164032353805792,9.045247086057044,15.743825388416992,2.4549489180144466,9.83149980264554,18.682289566560584,14.710526417519143,5.269947988641552,17.111891789842574,3.2853983651072114,4.672555464287872,7.755524821925489,12.332553210882987,10.58086987163382,14.026949709009115,8.531193914546897
ZNF730,0.7547551380610366,0.14433651400730974,0.13000478902125917,0.16116301828294383,12.081302435387757,0.29442568644015055,0,0,20.579750643514142,0,0,0,0.20140129916146446,0,0,0,0,0.05011361332150308,0.2528975995002026,0.1101468285251635,0.89926513389880125,0.5475270941646786,0.035789250869917605,0.04543421912694952,0.09455770696873003,0.6604249237116194,0.24614216752814927,0.2394904953627792,0.32299002978515445,0.10554244501801636,0.16084745973090517,0.1102338638805889,0.33016524724919305,0.12904084730248364,0.8609447165846037,0,0
FAM47E,0.5513331196863668,0.1903684930036478,0.3165527568291619,0.16099319423838857,0.09250674196132394,4.540407075479445,0,0,0,0,0,0,2.1250595983440825,0,0,0,2.453653930748637,0.5592730733268774,1.7447336102505415,0.18997498806844337,0.10813081518722267,0.26981245870712944,0.49381812244828094,0.055314605820652576,0.08953837663306116,0.1340074545544981,0.2996696594392365,0.1319013821695933,0.33154627251616736,0.08566287489475986,0.032637712291288125,0.1938530448722,0.1339882938322924,2.5267368991707637,0.042608565367221664,0,0
TCF24,0.32124843182450974,0.052358806866937356,0.15091168162304533,0.15590055237982728,0,0,0,0,0,0.07782464197122979,5.489751787036745,0,0,0,0,0,0,0.14543175131260688,0.14678383122011757,0.07991264804223595,0,0.22699228218722242,0.20772373362050137,0.04395065278811035,0.12196014449844364,0.024571539547826343,0.17857865419644298,0.0661915421585757,0.3308224410716612,0.17866828192335626,0.031119059556101655,0.03554479692476131,0.1064614470721888,0.18724090292258339,0.04062596273380808,0,0
IZUMO3,65.48389666213548,51.046900467871204,18.743786028416377,22.500586504306682,0,0,0.4092306346227065,0,1.0940782643590965,63.12908710102316,25.972639240559474,0,0,0,0,26.14390232772431,36.056034588893304,42.28057902393544,22.748530504705975,38.38424254213546,41.114450334511815,48.40261629591154,24.43013762611684,15.651874465321667,32.3736063239644,29.00632212301277,54.17446656242026,57.89421408617417,23.02943716447709,19.94688288767484,31.758822186948834,35.16208040336416,47.9769060493556,49.59909875757711,61.48846082409674,0,0
CCDC152,0,0.5389362532470016,0.33538330848623893,0.6901355347400415,0,0,0,0,0,0,0,0.7664944371922018,0.13672904010675188,0,0,0,0,0.06804311863188903,0,0.01869435574367212,0,1.0885789528170768,0.024296913366286088,0,0.14978634188973852,0.017244420478995857,0.7519639692603013,0.3367881030053569,0.14188333153316895,0,0.05459875101149317,0.09978201371030103,0,0.021901089093876124,0.0712787229288383,0.06306195484971157,0
ZNF737,0.2046500882036075,0.06624669283406645,0.03304733821741697,0.017507602162141526,0,0,0.03623624854304266,0,0,0,0.0696910866106026,0,0,0,0,0,0,0.25477854180614007,0.12143063143681518,1.2988622709442992,0.15051458960633546,0.12150800470634499,0.25271280110149186,0.218155725017852,0.3560986223587021,0.6169971854042439,0.3997500164449832,0.043484790388410036,0.05366298419110224,0.13414493816197648,0.14992110386788338,0.07264846469546617,0.49735296451314515,0.19134676946265672,0.06524071598594494,0,0
TMEM269,0.07278818625451298,5.219901396703826,0.3761277924480784,0.23911501890950895,0,0,0,0,0,0,0,0,2.9134552126917854,0,0,14.465461712537358,54.50586714048367,0.12082325897452931,0.243893107147703,1.9917191017647826,0,2.545869695945196,0.6040118737863003,2.6289912349347797,0.911909523971069,0,3.560673064344133,4.330563128253713,1.1451833681270065,4.198613746113459,1.9002253813377437,6.289946515831365,0.0884471160823542,0.1555578881520276,0.050627471362070096,0,0
HDAC6,0.8246500842132565,0.9102390722280478,1.7425619869151343,1.5839751104623419,0.10207319052540595,3.6915395929276467,2.451156964048235,1.3140521773194414,0,0,0,0,3.3669203205327576,4.675466033359772,0,1.3433255633666918,3.923760783466333,0.6657302215584233,0.5435753417145052,0.32059678046922985,0.14914125535962822,0.3736027821194575,0.555569628065077,0.5018423825723899,0.7527455700244033,0.4398054880647592,0.7164290384376759,1.0009188356388732,0.7373371085171943,0.5198686626060625,0.5954131687330698,1.3601850744101887,0.6899409814666977,0.5585701873724462,0.752237879061568,0,0
HSFX2,5.391546055704501,4.780529940070556,5.605018358984758,5.5207622353007055,0.17322767413022613,0,4.2898357974836,0,0,18.586081661021364,0,0,0,0,0,0,0.6658986075232838,5.0396961990240525,4.4074894168560315,6.821957245760353,7.778807874082097,4.517524897740575,4.496684500064723,7.6420395420797265,4.2795548780289705,6.189895421149199,3.0552041379910193,4.506628084118505,5.130450865439039,6.85760795625024,4.873079751565256,5.193810589551218,6.133253524145977,5.556921481206783,9.436330794674545,0.8941505778594525,0
