"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LBR",13.5912164939651,-1.09952894707645,0.520332305219408,-2.11312835287599,0.0345897835275101,0.353700253872104
"LBX2",2.41554122349296,-2.02645045016873,0.879868094177305,-2.30312982545811,0.0212715396531342,0.296287401430854
"LCA5",3.48236279946397,-2.30839909161682,0.900437448605273,-2.56364181120233,0.0103580377389192,0.231541494129279
"LENEP",2.2253383815377,-1.94720522212697,0.928211788863128,-2.09780272723309,0.0359225755131153,0.356668719803448
"LGR4",5.2697188872414,-1.7593777377788,0.707382484603932,-2.48716610330532,0.0128765262790052,0.251072267834578
"LIFR",5.61119834709864,-1.84268428269647,0.845757382079457,-2.17873863325423,0.029351090041999,0.338784974410634
"LINC00094",7.72699419249845,-1.03107047775504,0.487542895997819,-2.11483027692326,0.0344444153794792,0.353700253872104
"LINGO2",2.79108911819197,-2.69261666853714,1.1058500303939,-2.43488411134559,0.0148965598003654,0.264577229721624
"LMO3",25.1954197063171,-4.35059839654344,1.1725778251276,-3.71028540990018,0.000207025717261928,0.0285672739742641
"LRIG3",6.39079982191491,-2.37121626511768,0.865879615804454,-2.73850570199031,0.00617190901599667,0.185408281133661
"LRRC58",11.7893071874742,-1.46101339833148,0.461884911358482,-3.16315463528435,0.00156069408074847,0.100106242155303
"LRRC59",4.43525739880736,-1.04065250920334,0.503844404343325,-2.06542436560281,0.0388828651107083,0.366555658554928
"LRRTM2",6.22661732811219,-1.0748430087841,0.516845788037095,-2.07962033098151,0.0375603706827698,0.362432948970154
"LSM14B",10.686613252247,-1.00851681610687,0.34919208095622,-2.88814343482583,0.00387523114662285,0.153151496625655
"LXN",4.94648228143627,-1.40828102028573,0.655352569008335,-2.14889066875363,0.0316430676837035,0.346705939873114
"LYRM2",4.63766395806103,-1.91350397787124,0.756304087430895,-2.53007224167102,0.011403904383184,0.239462921972644
"LZTS1",2.82113369756767,-2.16398492420427,0.915385144266656,-2.36401577823061,0.0180780426332186,0.280947996714512
"MAGEH1",5.39756760645902,-3.49168882847479,1.02486771590631,-3.40696538127073,0.000656894582182711,0.0628881281419067
"MAK16",5.32226855113262,-1.02773417114747,0.503859896671364,-2.03972210913582,0.0413780115573871,0.376237285391824
"MAN1C1",5.47027632264656,-2.02392912928944,1.0164964992651,-1.99108322630987,0.04647173820962,0.389549810879973
"MAP1LC3A",4.70204102490201,-1.3388214705632,0.548459940787002,-2.44105607538461,0.0146443806389346,0.263575052118818
"MAPK4",3.50352137393166,-2.38001641760976,0.901674212875774,-2.63955249426398,0.00830155654734495,0.211875295863843
"MAPRE1",8.03314555827714,-1.45845830665416,0.506185061486028,-2.8812748886198,0.00396070045228612,0.153976828419061
